Unnamed: 0,name,attendance,subject,late
142,Sean Green,60,p.e,0
147,Cheryl Bradley,60,p.e,0
150,Tasha Rodriguez,60,p.e,0
155,Collin Lopez,60,p.e,0
159,Kimberly Myers,60,p.e,0
161,Stephanie Lawrence,60,p.e,0
165,Norma Fisher,60,p.e,0
168,Susan Wagner,60,p.e,0
169,Peter Montgomery,60,p.e,0
181,Walter Pratt,60,p.e,0
186,Laurie Wallace,60,p.e,0
190,Peter Mcdowell,60,p.e,0
192,Kimberly Myers,60,p.e,0
194,Stephanie Lawrence,60,p.e,0
198,Norma Fisher,60,p.e,0
205,Stephanie Sutton,60,p.e,0
212,Dana Nguyen,60,p.e,0
217,Michelle Kelley,60,p.e,0
218,Kimberly Maynard,60,p.e,0
225,Kimberly Myers,60,p.e,0
236,Theodore Mcgrath,58,p.e,2
264,Norma Fisher,60,p.e,0
268,Peter Montgomery,55,p.e,5
276,Jennifer Summers,60,p.e,0
277,April Snyder,60,p.e,0
283,Michelle Kelley,60,p.e,0
285,Laurie Wallace,60,p.e,0
286,Janice Johnston,60,p.e,0
288,Mary Alvarez,60,p.e,0
289,Peter Mcdowell,60,p.e,0
290,Sarah Villanueva,60,p.e,0
298,Jorge Sullivan,60,p.e,0
