Unnamed: 0,name,attendance,subject,late
764,Theodore Mcgrath,60,herbology,0
781,Janice Johnston,60,herbology,0
785,Sarah Villanueva,60,herbology,0
786,Kimberly Myers,60,herbology,0
788,Stephanie Lawrence,60,herbology,0
800,Brian Hamilton,60,herbology,0
801,Susan Levy,60,herbology,0
811,Michelle Kelley,60,herbology,0
812,Kimberly Maynard,60,herbology,0
815,Collin Lopez,60,herbology,0
820,Desiree Cain,60,herbology,0
824,Angela Salazar,60,herbology,0
827,Elizabeth Woods,60,herbology,0
835,Sean Green,60,herbology,0
846,Laurie Wallace,46,herbology,14
851,Sarah Villanueva,60,herbology,0
852,Kimberly Myers,60,herbology,0
863,Theodore Mcgrath,60,herbology,0
873,Cheryl Bradley,60,herbology,0
880,Janice Johnston,60,herbology,0
890,Angela Salazar,60,herbology,0
895,Peter Montgomery,60,herbology,0
896,Theodore Mcgrath,60,herbology,0
97,Whitney Stark,60,herbology,0
98,Angela Salazar,60,herbology,0
99,Norma Fisher,60,herbology,0
102,Susan Wagner,60,herbology,0
106,Stephanie Sutton,60,herbology,0
112,April Snyder,60,herbology,0
115,Walter Pratt,60,herbology,0
118,Michelle Kelley,60,herbology,0
900,Susan Levy,60,herbology,0
901,Sean Green,60,herbology,0
907,Walter Pratt,60,herbology,0
912,Laurie Wallace,60,herbology,0
921,Lauren Hayes,60,herbology,0
923,Angela Salazar,60,herbology,0
928,Peter Montgomery,60,herbology,0
122,Collin Lopez,45,herbology,15
126,Kimberly Myers,60,herbology,0
129,Lauren Hayes,60,herbology,0
137,Theodore Mcgrath,60,herbology,0
141,Susan Levy,60,herbology,0
152,Kimberly Maynard,60,herbology,0
164,Angela Salazar,60,herbology,0
167,Elizabeth Woods,60,herbology,0
170,Theodore Mcgrath,60,herbology,0
172,Stephanie Sutton,60,herbology,0
175,Sean Green,60,herbology,0
178,April Snyder,60,herbology,0
182,Bobby Flores,60,herbology,0
183,Tasha Rodriguez,60,herbology,0
185,Kimberly Maynard,60,herbology,0
188,Collin Lopez,60,herbology,0
193,Desiree Cain,60,herbology,0
196,Whitney Stark,60,herbology,0
207,Susan Levy,60,herbology,0
210,Jennifer Summers,60,herbology,0
215,Bobby Flores,60,herbology,0
219,Laurie Wallace,60,herbology,0
220,Janice Johnston,0,herbology,60
223,Peter Mcdowell,60,herbology,0
229,Whitney Stark,60,herbology,0
230,Angela Salazar,60,herbology,0
237,Stephanie Collins,60,herbology,0
244,April Snyder,0,herbology,60
248,Bobby Flores,60,herbology,0
261,Lauren Hayes,60,herbology,0
272,Brian Hamilton,60,herbology,0
275,Kimberly Smith,60,herbology,0
284,Kimberly Maynard,42,herbology,18
287,Collin Lopez,60,herbology,0
297,Norma Fisher,60,herbology,0
