Unnamed: 0,name,late,subject,attendance
625,Whitney Stark,0,math,60
628,Jorge Sullivan,0,math,60
637,Sean Green,0,math,60
647,Kimberly Maynard,17,math,43
654,Kimberly Myers,0,math,60
667,Stephanie Sutton,0,math,60
671,Kimberly Smith,0,math,60
677,Bobby Flores,0,math,60
681,Laurie Wallace,0,math,60
683,Collin Lopez,0,math,60
686,Sarah Villanueva,2,math,58
688,Desiree Cain,0,math,60
694,Jorge Sullivan,4,math,56
717,Mary Alvarez,0,math,60
718,Peter Mcdowell,0,math,60
728,Elizabeth Woods,0,math,60
741,Cheryl Bradley,1,math,59
744,Tasha Rodriguez,0,math,60
745,Michelle Kelley,0,math,60
753,Kimberly Myers,0,math,60
757,Whitney Stark,0,math,60
760,Jorge Sullivan,0,math,60
768,Susan Levy,0,math,60
775,Walter Pratt,0,math,60
783,Mary Alvarez,0,math,60
791,Angela Salazar,0,math,60
805,April Snyder,0,math,60
807,Cheryl Bradley,0,math,60
810,Tasha Rodriguez,0,math,60
816,Mary Alvarez,0,math,60
822,Lauren Hayes,0,math,60
828,Susan Wagner,0,math,60
830,Theodore Mcgrath,10,math,50
831,Stephanie Collins,0,math,60
833,Brian Hamilton,0,math,60
838,April Snyder,0,math,60
840,Cheryl Bradley,0,math,60
843,Tasha Rodriguez,0,math,60
845,Kimberly Maynard,0,math,60
848,Collin Lopez,0,math,60
855,Lauren Hayes,0,math,60
856,Whitney Stark,0,math,60
857,Angela Salazar,6,math,54
858,Norma Fisher,0,math,60
861,Susan Wagner,0,math,60
874,Walter Pratt,0,math,60
881,Collin Lopez,18,math,42
884,Sarah Villanueva,0,math,60
887,Stephanie Lawrence,0,math,60
90,Mary Alvarez,0,math,60
91,Peter Mcdowell,60,math,0
101,Elizabeth Woods,0,math,60
105,Stephanie Collins,0,math,60
109,Sean Green,0,math,60
116,Bobby Flores,0,math,60
117,Tasha Rodriguez,0,math,60
908,Bobby Flores,0,math,60
911,Kimberly Maynard,0,math,60
916,Peter Mcdowell,0,math,60
918,Kimberly Myers,0,math,60
924,Norma Fisher,0,math,60
927,Susan Wagner,0,math,60
929,Theodore Mcgrath,0,math,60
121,Janice Johnston,0,math,60
123,Mary Alvarez,0,math,60
124,Peter Mcdowell,0,math,60
131,Angela Salazar,0,math,60
138,Stephanie Collins,0,math,60
146,Dana Nguyen,0,math,60
149,Bobby Flores,0,math,60
151,Michelle Kelley,7,math,53
153,Laurie Wallace,0,math,60
162,Lauren Hayes,0,math,60
173,Brian Hamilton,0,math,60
176,Kimberly Smith,0,math,60
180,Cheryl Bradley,0,math,60
199,Jorge Sullivan,0,math,60
203,Theodore Mcgrath,0,math,60
208,Sean Green,0,math,60
213,Cheryl Bradley,0,math,60
224,Sarah Villanueva,0,math,60
232,Jorge Sullivan,0,math,60
235,Peter Montgomery,0,math,60
238,Stephanie Sutton,0,math,60
239,Brian Hamilton,0,math,60
243,Jennifer Summers,0,math,60
247,Walter Pratt,0,math,60
254,Collin Lopez,4,math,56
258,Kimberly Myers,0,math,60
259,Desiree Cain,0,math,60
262,Whitney Stark,0,math,60
263,Angela Salazar,0,math,60
265,Jorge Sullivan,0,math,60
266,Elizabeth Woods,0,math,60
269,Theodore Mcgrath,0,math,60
273,Susan Levy,0,math,60
274,Sean Green,0,math,60
278,Dana Nguyen,0,math,60
280,Walter Pratt,0,math,60
291,Kimberly Myers,0,math,60
293,Stephanie Lawrence,0,math,60
295,Whitney Stark,0,math,60
